id,elect_div,area_sqkm,long,lat
82,Warringah,51.49,151.25120079101865,-33.80836966910154
83,Watson,50.5,151.03973351518286,-33.911649536646
84,Wentworth,31.23,151.25414978045842,-33.87732711219277
85,Werriwa,110.83,150.83527422001765,-33.92170221365361
86,Whitlam,2995.61,150.40218545624936,-34.48384740391369
87,Brand,308.97,115.80747278506834,-32.28481055245606
88,Bullwinkel,9508.41,116.56422079681357,-31.877385291673082
89,Burt,221.82,115.96193641492387,-32.143925641772725
90,Canning,3607.65,115.95761537212599,-32.613595507080326
91,Cowan,107.64,115.85558438543698,-31.838984619673468
92,Curtin,91.72,115.78885369108455,-31.950756258230765
93,Durack,1410946.74,121.49506102401213,-22.44094223389864
94,Forrest,6454.48,115.5299090210384,-33.61244559916087
95,Fremantle,190.64,115.81983811719208,-32.117282177221746
96,Hasluck,257.89,115.99612945247995,-31.827346580956014
97,Moore,102.34,115.76804481041114,-31.79606849978099
98,O'connor,1093790.24,123.48007416294784,-28.905471489446356
99,Pearce,754.93,115.7794613204913,-31.6184263917734
100,Perth,68.91,115.86879541003803,-31.924731976790483
101,Swan,124.13,115.92388983839035,-31.983128372821792
102,Tangney,96.83,115.86154877155164,-32.05189928609395
103,Bass,7978.54,147.44159670056285,-41.16837788473066
104,Braddon,21368.01,145.52348795763726,-41.74136008268907
105,Clark,292.29,147.24320531339455,-42.889224275392905
106,Franklin,6394.58,146.6276943541676,-43.243192528893694
107,Lyons,31984.06,147.06892231262205,-42.08877152058014
108,Adelaide,86.4,138.5890130493925,-34.90251506738216
109,Barker,65204.13,140.17741670181496,-35.49691392215027
110,Boothby,115.6,138.58436084145177,-35.002141217744075
111,Grey,908651.63,135.4406694608177,-29.622097477497462
112,Hindmarsh,122.45,138.51856894153704,-34.87414961933601
113,Kingston,165.66,138.53352176151122,-35.11976099683618
114,Makin,162.62,138.66769073709096,-34.801987206201844
115,Mayo,9134.78,138.7345588889865,-35.26837431355069
116,Spence,534.1,138.67030273589785,-34.681888979454804
117,Sturt,97.79,138.66911625632258,-34.89746461622698
118,Blair,6471.4,152.46472502653225,-27.118582538927644
119,Bonner,373.73,153.29074847837515,-27.316513778330744
120,Bowman,537.28,153.35484848053343,-27.55011450782822
121,Brisbane,55.01,153.03037737496734,-27.43889825320293
122,Capricornia,90896.59,149.42428416266904,-22.08875551388174
123,Dawson,14651.51,149.283959125344,-20.297574416600046
124,Dickson,724.44,152.84818964258966,-27.271470205941785
125,Fadden,388.99,153.34848026175285,-27.81702844345277
126,Fairfax,1003.96,152.8856840941642,-26.583100568944932
127,Fisher,1199.46,152.90377042280826,-26.78854180504337
128,Flynn,132847.37,150.10215113288243,-24.38942432793273
129,Forde,417.65,153.18049250004452,-27.76158384878159
130,Griffith,54.29,153.06276511805723,-27.48533917143234
131,Groom,5585.61,151.65336135492083,-27.483616275504144
132,Herbert,947.22,147.41079038683492,-18.97642426149115
133,Hinkler,3815.02,152.62925729564168,-25.100741821173127
134,Kennedy,567471.23,142.03450817109862,-19.3763474351282
135,Leichhardt,148437.34,142.9685594685871,-13.184381498243916
136,Lilley,141.01,153.0734571940269,-27.376620018800967
137,Longman,1246.77,152.90221747349048,-27.01336526398221
138,Maranoa,729861.86,144.67402415713713,-25.81318077713266
139,McPherson,229.47,153.3986763148494,-28.14752766264436
140,Moncrieff,100.31,153.384041758251,-28.004341473834344
141,Moreton,108.05,153.03247622876893,-27.562746855443514
142,Oxley,157.25,152.93383318357616,-27.608316160295193
143,Petrie,148.82,153.0388380178455,-27.246264648370744
144,Rankin,131.09,153.09433940758313,-27.64224673802405
145,Ryan,367.81,152.86359256897103,-27.45994513980716
146,Wide Bay,14224.83,152.56658419445213,-25.916962817215097
147,Wright,7577.19,152.67308896317016,-27.917089625935844
148,Lingiari,1348073.31,133.36246315336925,-19.40510916533065
149,Solomon,211.11,130.9159416070325,-12.439343002863549
